id,title,year,description,runtime,rating,director,actor1,actor2,actor3,actor4,actor5,genres
1,Frankenstein,2025,"Dr. Victor Frankenstein, a brilliant but egotistical scientist, brings a creature to life in a monstrous experiment that ultimately leads to the undoing of both the creator and his tragic creation.",152,7.806,Guillermo del Toro,Oscar Isaac,Jacob Elordi,Christoph Waltz,Mia Goth,Felix Kammerer,"Drama, Horror, Fantasy"
2,One Battle After Another,2025,"Washed-up revolutionary Bob exists in a state of stoned paranoia, surviving off-grid with his spirited, self-reliant daughter, Willa. When his evil nemesis resurfaces after 16 years and she goes missing, the former radical scrambles to find her, father and daughter both battling the consequences of his past.",162,7.5,Paul Thomas Anderson,Leonardo DiCaprio,Sean Penn,Chase Infiniti,Benicio del Toro,Regina Hall,"Action, Thriller, Crime"
3,Aquaman,2018,"Half-human, half-Atlantean Arthur Curry is taken on the journey of his lifetime to discover if he is worth of being a king.",143,6.872,James Wan,Jason Momoa,Amber Heard,Willem Dafoe,Patrick Wilson,Nicole Kidman,"Action, Adventure, Fantasy"
4,xXx,2002,"Xander Cage is your standard adrenaline junkie with no fear and a lousy attitude. When the US Government ""recruits"" him to go on a mission, he's not exactly thrilled. His mission: to gather information on an organization that may just be planning the destruction of the world, led by the nihilistic Yorgi.",124,6.0,Rob Cohen,Vin Diesel,Asia Argento,Marton Csokas,Samuel L. Jackson,Michael Roof,"Action, Adventure, Thriller, Crime, Drama"
5,KPop Demon Hunters,2025,"When K-pop superstars Rumi, Mira and Zoey aren't selling out stadiums, they're using their secret powers to protect their fans from supernatural threats.",96,8.209,Chris Appelhans,Arden Cho,May Hong,Ji-young Yoo,Ahn Hyo-seop,Yunjin Kim,"Fantasy, Music, Comedy, Animation"
6,The Fantastic 4: First Steps,2025,"Against the vibrant backdrop of a 1960s-inspired, retro-futuristic world, Marvel's First Family is forced to balance their roles as heroes with the strength of their family bond, while defending Earth from a ravenous space god called Galactus and his enigmatic Herald, Silver Surfer.",115,7.052,Matt Shakman,Pedro Pascal,Vanessa Kirby,Ebon Moss-Bachrach,Joseph Quinn,Ralph Ineson,"Science Fiction, Adventure, Action"
7,The Conjuring: Last Rites,2025,Paranormal investigators Ed and Lorraine Warren take on one last terrifying case involving mysterious entities they must confront.,136,6.988,Michael Chaves,Vera Farmiga,Patrick Wilson,Mia Tomlinson,Ben Hardy,Rebecca Calder,Horror
8,Mission: Impossible - The Final Reckoning,2025,"Ethan Hunt and team continue their search for the terrifying AI known as the Entity — which has infiltrated intelligence networks all over the globe — with the world's governments and a mysterious ghost from Hunt's past on their trail. Joined by new allies and armed with the means to shut the Entity down for good, Hunt is in a race against time to prevent the world as we know it from changing forever.",170,7.266,Christopher McQuarrie,Tom Cruise,Hayley Atwell,Ving Rhames,Simon Pegg,Esai Morales,"Action, Thriller"
9,El Camino: A Breaking Bad Movie,2019,"In the wake of his dramatic escape from captivity, Jesse Pinkman must come to terms with his past in order to forge some kind of future.",123,7.045,Vince Gilligan,Aaron Paul,Jesse Plemons,Charles Baker,Matt Jones,Scott MacArthur,"Crime, Drama, Thriller"
10,Wicked,2024,"In the land of Oz, ostracized and misunderstood green-skinned Elphaba is forced to share a room with the popular aristocrat Glinda at Shiz University, and the two's unlikely friendship is tested as they begin to fulfill their respective destinies as Glinda the Good and the Wicked Witch of the West.",162,6.9,Jon M. Chu,Cynthia Erivo,Ariana Grande,Michelle Yeoh,Jonathan Bailey,Ethan Slater,"Drama, Romance, Fantasy"
11,Jurassic World Rebirth,2025,"Five years after the events of Jurassic World Dominion, covert operations expert Zora Bennett is contracted to lead a skilled team on a top-secret mission to secure genetic material from the world's three most massive dinosaurs. When Zora's operation intersects with a civilian family whose boating expedition was capsized, they all find themselves stranded on an island where they come face-to-face with a sinister, shocking discovery that's been hidden from the world for decades.",134,6.383,Gareth Edwards,Scarlett Johansson,Mahershala Ali,Jonathan Bailey,Rupert Friend,Manuel Garcia-Rulfo,"Science Fiction, Adventure, Action"
12,Superman,2025,"Superman, a journalist in Metropolis, embarks on a journey to reconcile his Kryptonian heritage with his human upbringing as Clark Kent.",130,7.413,James Gunn,David Corenswet,Rachel Brosnahan,Nicholas Hoult,Edi Gathegi,Nathan Fillion,"Science Fiction, Adventure, Action"
13,F1,2025,Racing legend Sonny Hayes is coaxed out of retirement to lead a struggling Formula 1 team—and mentor a young hotshot driver—while chasing one more chance at glory.,156,7.805,Joseph Kosinski,Brad Pitt,Damson Idris,Javier Bardem,Kerry Condon,Tobias Menzies,"Action, Drama"
